run_id,timestamp,experiment_name,strategy,strategy_variant,proximal_mu,server_round,loss,global_accuracy,global_f1_score,global_sensitivity,global_specificity,modality_FLAIR_accuracy,modality_FLAIR_f1_score,modality_FLAIR_sensitivity,modality_FLAIR_specificity,modality_T1w_accuracy,modality_T1w_f1_score,modality_T1w_sensitivity,modality_T1w_specificity,hospital_1_accuracy,hospital_1_f1_score,hospital_1_sensitivity,hospital_1_specificity,hospital_2_accuracy,hospital_2_f1_score,hospital_2_sensitivity,hospital_2_specificity,hospital_3_accuracy,hospital_3_f1_score,hospital_3_sensitivity,hospital_3_specificity,hospital_4_accuracy,hospital_4_f1_score,hospital_4_sensitivity,hospital_4_specificity
20260516_191807,2026-05-16T19:19:13,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,0,1.0413896850832216,0.45787545787545786,0.28789782244556117,0.999000999000999,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.45354645354645357,0.2836613558263043,0.9978021978021978,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.45254745254745254,0.2832312117043892,0.9956043956043956,0.0
20260516_191807,2026-05-16T19:21:03,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,1,0.18259606890605537,0.9276556776556777,0.9277803081997998,0.962037962037962,0.8985629754860525,0.9678782755705833,0.9677644086140177,0.9304029304029304,1.0,0.8801198801198801,0.8797031806740545,1.0,0.7802197802197802,0.9771766694843618,0.9771241889937151,0.9505494505494505,1.0,0.9585798816568047,0.9583739650853743,0.9102564102564102,1.0,0.8741258741258742,0.8735711996581562,1.0,0.7692307692307693,0.8861138861138861,0.8858157156302288,1.0,0.7912087912087912
20260516_191807,2026-05-16T19:22:51,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,2,0.059471305826500676,0.9867216117216118,0.9867127195151957,0.9775224775224776,0.9945054945054945,0.9809805579036348,0.9809455292985501,0.9587912087912088,1.0,0.9935064935064936,0.9935100784890567,1.0,0.9880952380952381,0.9771766694843618,0.9771241889937151,0.9505494505494505,1.0,0.9847844463229078,0.9847629323821447,0.967032967032967,1.0,0.988011988011988,0.9880234010385855,1.0,0.978021978021978,0.999000999000999,0.9990010894628154,1.0,0.9981684981684982
20260516_191807,2026-05-16T19:24:51,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,3,0.06483168904555098,0.9807692307692307,0.9807806046896754,0.9875124875124875,0.9750633981403212,0.9894336432797971,0.9894237999237597,0.9771062271062271,1.0,0.9705294705294706,0.9705830328454377,1.0,0.9459706959706959,0.9822485207100592,0.9822184175125351,0.9615384615384616,1.0,0.9966187658495351,0.9966178417918269,0.9926739926739927,1.0,0.951048951048951,0.9511496684376711,1.0,0.9102564102564102,0.99000999000999,0.9900181189862135,1.0,0.9816849816849816
20260516_191807,2026-05-16T19:26:50,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,4,0.08185760614618043,0.9722985347985348,0.9722328787436214,0.9455544455544456,0.9949281487743026,0.9539306846999155,0.9536656384956169,0.9001831501831502,1.0,0.994005994005994,0.9940090670023841,1.0,0.989010989010989,0.9332206255283179,0.9325662740056115,0.8553113553113553,1.0,0.9746407438715131,0.9745742715223843,0.945054945054945,1.0,0.988011988011988,0.9880234010385855,1.0,0.978021978021978,1.0,1.0,1.0,1.0
20260516_191807,2026-05-16T19:28:50,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,5,0.04158968833366606,0.9839743589743589,0.9839527875510343,0.9675324675324676,0.9978867286559594,0.9725274725274725,0.9724478128470436,0.9404761904761905,1.0,0.9975024975024975,0.9975030533160127,1.0,0.9954212454212454,0.9628064243448858,0.9626464767610847,0.9194139194139194,1.0,0.9822485207100592,0.9822184175125351,0.9615384615384616,1.0,0.995004995004995,0.9950071545076599,1.0,0.9908424908424909,1.0,1.0,1.0,1.0
20260516_191807,2026-05-16T19:30:49,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,6,0.044949656076157994,0.9848901098901099,0.9848735679892161,0.971028971028971,0.9966187658495351,0.9754860524091293,0.9754244617549432,0.9468864468864469,1.0,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927,0.9644970414201184,0.9643535188216039,0.9230769230769231,1.0,0.9864750633981403,0.9864583818245095,0.9706959706959707,1.0,0.9920079920079921,0.9920133247678288,1.0,0.9853479853479854,1.0,1.0,1.0,1.0
20260516_191807,2026-05-16T19:32:50,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,7,0.023900202999711944,0.9917582417582418,0.9917594802383704,0.993006993006993,0.9907016060862215,0.9940828402366864,0.9940799197277251,0.9871794871794872,1.0,0.989010989010989,0.9890207020683989,1.0,0.9798534798534798,0.9881656804733728,0.9881531511966294,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9820179820179821,0.9820416892874029,1.0,0.967032967032967,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927
20260516_191807,2026-05-16T19:34:50,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,8,0.018830553041797753,0.9947344322344323,0.994734330792859,0.994005994005994,0.9953508030431107,0.9949281487743026,0.9949260252868679,0.989010989010989,1.0,0.9945054945054945,0.9945080920879177,1.0,0.98992673992674,0.9898562975486053,0.989847270407146,0.978021978021978,1.0,1.0,1.0,1.0,1.0,0.989010989010989,0.9890207020683989,1.0,0.9798534798534798,1.0,1.0,1.0,1.0
20260516_191807,2026-05-16T19:36:52,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,9,0.018599978593214186,0.9933608058608059,0.9933598955987054,0.991008991008991,0.9953508030431107,0.9923922231614539,0.9923872954512275,0.9835164835164835,1.0,0.9945054945054945,0.9945080920879177,1.0,0.98992673992674,0.9847844463229078,0.9847629323821447,0.967032967032967,1.0,1.0,1.0,1.0,1.0,0.989010989010989,0.9890207020683989,1.0,0.9798534798534798,1.0,1.0,1.0,1.0
20260516_191807,2026-05-16T19:38:53,FTL_FLAIR_vs_T1w_FedProx,FedProx,FedProx_mu_0p01,0.01,10,0.03403205742214375,0.9887820512820513,0.9887752956080522,0.9805194805194806,0.9957734573119188,0.9835164835164835,0.9834908809783182,0.9642857142857143,1.0,0.995004995004995,0.9950071545076599,1.0,0.9908424908424909,0.9754860524091293,0.9754244617549432,0.9468864468864469,1.0,0.9915469146238377,0.9915407693060706,0.9816849816849816,1.0,0.99000999000999,0.9900181189862135,1.0,0.9816849816849816,1.0,1.0,1.0,1.0
