baseline,batch_size,elapsed_seconds,epochs,global_accuracy,global_f1_score,global_sensitivity,global_specificity,hospital_1_accuracy,hospital_1_f1_score,hospital_1_sensitivity,hospital_1_specificity,hospital_2_accuracy,hospital_2_f1_score,hospital_2_sensitivity,hospital_2_specificity,hospital_3_accuracy,hospital_3_f1_score,hospital_3_sensitivity,hospital_3_specificity,hospital_4_accuracy,hospital_4_f1_score,hospital_4_sensitivity,hospital_4_specificity,learning_rate,loss,modality,modality_FLAIR_accuracy,modality_FLAIR_f1_score,modality_FLAIR_sensitivity,modality_FLAIR_specificity,modality_T1w_accuracy,modality_T1w_f1_score,modality_T1w_sensitivity,modality_T1w_specificity,mode,patient_global_accuracy,patient_global_f1_score,patient_global_sensitivity,patient_global_specificity,patient_hospital_1_accuracy,patient_hospital_1_f1_score,patient_hospital_1_sensitivity,patient_hospital_1_specificity,patient_hospital_2_accuracy,patient_hospital_2_f1_score,patient_hospital_2_sensitivity,patient_hospital_2_specificity,patient_hospital_3_accuracy,patient_hospital_3_f1_score,patient_hospital_3_sensitivity,patient_hospital_3_specificity,patient_hospital_4_accuracy,patient_hospital_4_f1_score,patient_hospital_4_sensitivity,patient_hospital_4_specificity,patient_modality_FLAIR_accuracy,patient_modality_FLAIR_f1_score,patient_modality_FLAIR_sensitivity,patient_modality_FLAIR_specificity,patient_modality_T1w_accuracy,patient_modality_T1w_f1_score,patient_modality_T1w_sensitivity,patient_modality_T1w_specificity,run_id,target_client,timestamp,train_patients,train_slices
centralized_all,32,732.130167,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,0.00011658134157787955,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,centralized,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260517_021226,,2026-05-17T02:24:45,148,13468
local_only_FLAIR,32,367.228094,20,0.7847985347985348,0.7785834255048953,1.0,0.6027049873203719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5124875124875125,0.4006333981890359,1.0,0.10622710622710622,0.5484515484515484,0.46392504338539586,1.0,0.17216117216117216,0.0001,1.0399571212112846,FLAIR,1.0,1.0,1.0,1.0,0.5304695304695305,0.43303085376341355,1.0,0.1391941391941392,modality,0.75,0.7392857142857142,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.2840909090909091,1.0,0.0,20260517_022445,,2026-05-17T02:30:59,75,6825
local_only_T1w,32,357.384521,20,0.75,0.7265625,0.45454545454545453,1.0,0.5384615384615384,0.3769230769230769,0.0,1.0,0.5384615384615384,0.3769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,2.5904057309615736,T1w,0.5384615384615384,0.3769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,modality,0.75,0.7265625,0.45454545454545453,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,1.0,1.0,1.0,1.0,20260517_023059,,2026-05-17T02:37:02,73,6643
local_only_hospital_1_FLAIR,32,146.983983,20,0.7793040293040293,0.7724848798766457,1.0,0.5925612848689772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4995004995004995,0.37621535846145243,1.0,0.08241758241758242,0.5374625374625375,0.4452160874764876,1.0,0.152014652014652,0.0001,0.8890994593444355,,1.0,1.0,1.0,1.0,0.5184815184815185,0.41160859585110576,1.0,0.11721611721611722,local,0.75,0.7392857142857142,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.2840909090909091,1.0,0.0,20260517_023703,1,2026-05-17T02:39:36,30,2730
local_only_hospital_2_FLAIR,32,141.896709,20,0.8956043956043956,0.8953747477840655,1.0,0.8072696534234995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7582417582417582,0.74921977124183,1.0,0.5567765567765568,0.7862137862137862,0.7805116478216941,1.0,0.608058608058608,0.0001,0.2681170137555596,,1.0,1.0,1.0,1.0,0.7722277722277723,0.7649917452202162,1.0,0.5824175824175825,local,0.9583333333333334,0.9584057971014494,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,0.8333333333333334,20260517_023936,2,2026-05-17T02:42:04,29,2639
local_only_hospital_3_T1w,32,142.570352,20,0.75,0.7265625,0.45454545454545453,1.0,0.5384615384615384,0.3769230769230769,0.0,1.0,0.5384615384615384,0.3769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,2.1413284209420587,,0.5384615384615384,0.3769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,local,0.75,0.7265625,0.45454545454545453,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,1.0,1.0,1.0,1.0,20260517_024205,3,2026-05-17T02:44:34,29,2639
local_only_hospital_4_T1w,32,134.422781,20,0.75,0.7265625,0.45454545454545453,1.0,0.5384615384615384,0.3769230769230769,0.0,1.0,0.5384615384615384,0.3769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,3.2182530615422538,,0.5384615384615384,0.3769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,local,0.75,0.7265625,0.45454545454545453,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.37692307692307686,0.0,1.0,1.0,1.0,1.0,1.0,20260517_024434,4,2026-05-17T02:46:54,28,2548
