baseline,mode,target_client,modality,epochs,train_patients,train_slices,loss,global_accuracy,global_f1_score,global_sensitivity,global_specificity,patient_global_accuracy,patient_global_f1_score,patient_global_sensitivity,patient_global_specificity
centralized_all,centralized,,,20,148,13468,0.0001165813415778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
local_only_FLAIR,modality,,FLAIR,20,75,6825,1.0399571212112846,0.7847985347985348,0.7785834255048953,1.0,0.6027049873203719,0.75,0.7392857142857142,1.0,0.5384615384615384
local_only_T1w,modality,,T1w,20,73,6643,2.5904057309615736,0.75,0.7265625,0.4545454545454545,1.0,0.75,0.7265625,0.4545454545454545,1.0
local_only_hospital_1_FLAIR,local,1.0,,20,30,2730,0.8890994593444355,0.7793040293040293,0.7724848798766457,1.0,0.5925612848689772,0.75,0.7392857142857142,1.0,0.5384615384615384
local_only_hospital_2_FLAIR,local,2.0,,20,29,2639,0.2681170137555596,0.8956043956043956,0.8953747477840655,1.0,0.8072696534234995,0.9583333333333334,0.9584057971014494,1.0,0.9230769230769232
local_only_hospital_3_T1w,local,3.0,,20,29,2639,2.1413284209420587,0.75,0.7265625,0.4545454545454545,1.0,0.75,0.7265625,0.4545454545454545,1.0
local_only_hospital_4_T1w,local,4.0,,20,28,2548,3.2182530615422538,0.75,0.7265625,0.4545454545454545,1.0,0.75,0.7265625,0.4545454545454545,1.0
