experiment_name,strategy,strategy_variant,proximal_mu,modality,accuracy,f1_score,sensitivity,specificity
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,FLAIR,0.981403212172443,0.9813698733480664,0.9597069597069596,1.0
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,T1w,0.9985014985014984,0.9985017008915372,1.0,0.9972527472527472
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,FLAIR,0.9978867286559594,0.9978863734675136,0.9954212454212454,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,T1w,0.9790209790209792,0.9790519078444774,1.0,0.9615384615384616
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,FLAIR,0.9902789518174132,0.9902707021213354,0.9789377289377288,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,T1w,0.995004995004995,0.99500715450766,1.0,0.9908424908424908
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,FLAIR,0.9628064243448858,0.9626464767610848,0.9194139194139194,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,T1w,0.9905094905094906,0.9905168727995172,1.0,0.9826007326007326
